"","CANDIDATE_ID","CANDIDATE_NAME","CANDIDATE_OFFICE","CANDIDATE_STATE","CANDIDATE_DISTRICT","COMMITTEE_ID","COMMITTEE_NAME","SB_IMAGE_NUM","PAYEE_NAME","PAYEE_STREET","PAYEE_CITY","PAYEE_STATE","DISBURSEMENT_DESCRIPTION","DISBURSEMENT_DATE","COMMUNICATION_DATE","PUBLIC_DISBURSEMENT_DATE","REPORTED_DISBURSEMENT_AMOUNT","NUMBER_OF_CANDIDATES","CALCULATED_CANDIDATE_SHARE"
"1","","","","",NA,"C30002679","45COMMITTEE INC.",201610319037011392,"MENTZER MEDIA SERVICES INC.","210 W. PENNSYLVANIA AVE.","TOWSON","MD","MEDIA PLACEMENT - IRAN SANCTIONS ACT EXTENSION","25-OCT-16","27-OCT-16","27-OCT-16",663320,1,663320
"2","","","","",NA,"C30002679","45COMMITTEE INC.",201610319037011392,"OUTLAW MEDIA","P.O. BOX 9735","ARLINGTON","VA","MEDIA PRODUCTION - IRAN SANCTIONS ACT EXTENSION","26-OCT-16","27-OCT-16","27-OCT-16",8000,1,8000
"3","H2PA09035","SHUSTER, WILLIAM MR.","H","PA",9,"C30002737","AMALGAMATED TRANSIT UNION",201611039037110528,"FINGERHUT GRANADOS OPINION RESEARCH","307 YOAKUM PKWY STE. 1409","ALEXANDRIA","VA","RADIO ADVERTISING PRODUCTION AND BUY FOR ALTOONA PA","02-NOV-16","02-NOV-16","02-NOV-16",22000,1,22000
"4","H4VA10089","COMSTOCK, BARBARA J HONORABLE","H","VA",10,"C30002737","AMALGAMATED TRANSIT UNION",201611039037110592,"FINGERHUT GRANADOS OPINION RESEARCH","307 YOAKUM PKWY STE. 1409","ALEXANDRIA","VA","RADIO ADVERTISING PRODUCTION AND BUY FOR NORTHERN VIRGINIA TRANSIT","28-OCT-16","28-OCT-16","28-OCT-16",75000,1,75000
"5","S0MO00183","BLUNT, ROY","S","MO",0,"C30002430","AMERICAN CHEMISTRY COUNCIL INC",201607069020364448,"REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST AND CABLE TELEVISION AD BUY: SUPPORT FOR SEN. ROY BLUNT (R-MO)","30-JUN-16","06-JUL-16","30-JUN-16",291600,1,291600
"6","H0KS04051","POMPEO, MICHAEL RICHARD","H","KS",4,"C30002430","AMERICAN CHEMISTRY COUNCIL INC",201607209021673600,"REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST&CABLE TELEVISION AD BUY:SUPPORT FOR SEN. JERRY MORAN (R-KS) AND REP. MIKE POMPEO (R-KS-04)","15-JUL-16","19-JUL-16","19-JUL-16",133447.5,2,66723.75
"7","H0KS04051","POMPEO, MICHAEL RICHARD","H","KS",4,"C30002430","AMERICAN CHEMISTRY COUNCIL INC",201607209021673600,"REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST&CABLE TELEVISION AD BUY:SUPPORT FOR SEN. JERRY MORAN (R-KS) AND REP. MIKE POMPEO (R-KS-04)","15-JUL-16","19-JUL-16","19-JUL-16",133447.5,2,66723.75
"8","","","","",NA,"C30002430","AMERICAN CHEMISTRY COUNCIL INC",201610079032195232,"REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST AND CABLE TELEVISION AD BUY: PROTECT","06-OCT-16","06-OCT-16","06-OCT-16",566512,1,566512
"9","","","","",NA,"C30002430","AMERICAN CHEMISTRY COUNCIL INC",201610079032195232,"REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST AND CABLE TELEVISION AD BUY: JOBS","06-OCT-16","06-OCT-16","06-OCT-16",380904,1,380904
"10","","","","",NA,"C30002430","AMERICAN CHEMISTRY COUNCIL INC",201610079032195232,"REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST AND CABLE TELEVISION AD BUY: WORKING FOR YOU","06-OCT-16","06-OCT-16","06-OCT-16",101500,1,101500
